"Name","Position","Team","Bye Week","Rank","Points","Risk","Upside","ADP","Tier","Outlook","Dynasty","Markers"
"Rome Odunze","WR","CHI","5","24","179.9","3.5","7.3","7.01","6","Last season was a rollercoaster for Rome Odunze. It feels like forever ago, but remember when Rome was THE WR1 in the first month of the season? The guy was on fire to open the year, but after the team’s bye, he regressed and then got injured, missing Weeks 14-18 with a foot injury. Now entering 2026, there is perhaps a buying window in fantasy as the market is hot and heavy for Luther Burden and Colston Loveland. This is still a former top-10 draft pick, and he is guaranteed to play in 2WR sets for one of the best play-callers in the league. Burden and Loveland feel like the more exciting fantasy picks in Chicago, but Rome outscoring both of those guys is in the range of outcomes.","The shine on Odunze feels like it has worn off in dynasty formats. When he came out, he was selected as a top-3 rookie pick and then was a trendy Year 2 breakout candidate entering last season. It looked like he put it all together in the first month of the season, but injuries certainly derailed his 2025 season. There is a chance the manager in your league is a bit frustrated, making him an interesting trade target heading into 2026.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Mike Evans","WR","SF","9","25","179.5","6.0","7.5","6.02","6","For the first time in his career, Mike Evans won’t be wearing a Bucs uniform. Weird! He is now in San Francisco as he chases another ring with the Niners. Historically speaking, there is an increased risk with veterans changing teams at this stage of their career. It was a tough 2025 season for the elder statesman, who missed a ton of time with hamstring and collarbone injuries. He will be 33 this season, so be mindful of his ADP throughout the summer. If he gets steamed up, we are hesitant to chase him up the board, but if he falls, there is double-digit TD upside with Brock Purdy and Kyle Shanahan, especially with George Kittle coming off a torn Achilles.","San Fran essentially signed Evans to a year-to-year contract, so we are not exactly sure how long he will play. At 33 years old with a significant injury history, the dynasty value is all but gone. If you are a contender, you are just riding it out at this point with the future Hall of Famer.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Davante Adams","WR","LAR","8","26","179.3","5.2","7.8","4.11","6","Adams is coming off arguably the best season ever for a WR inside-the-five as he became the team’s “goal-line WR”. He saw the most targets (16) inside the 5-yard line since targets became a stat (1992). Nevertheless, the warning signs are there as he totaled just 789 receiving yards and now enters his age-33 season. When we couple that with Matthew Stafford’s outlier TD season, it is hard to be bullish on Adams repeating as a WR1 for fantasy. We view him more as a WR3, as his price tag in drafts is a bit too rich for us.","Adams enters his final year under contract and his 13th season in the NFL. He could be someone at your league’s trade deadline you flip to a contending team searching for WR help. Our research shows that the greatest decline in fantasy production for aging WRs is between the age 32 and 33 seasons, right where Adams is for 2026.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Ladd McConkey","WR","LAC","12","27","177.2","4.4","6.8","4.12","7","We love us some Ladd, but his sophomore season was a relative disappointment, regressing in every major statistical category compared to his WR11 finish as a rookie. He particularly struggled versus zone coverage (1.31 YPRR) as a predominantly slot WR (65% of routes) while ceding meaningful targets to old man Keenan Allen. It remains to be seen if he will be consistently on the field in 2WR sets as new OC Mike McDaniel historically adds a fullback on the field to mess with WR usage. We have Ladd ranked as a solid WR3/FLEX for fantasy and the target leader for the Chargers. However, with a ton of mouths to feed, it will be hard to return to the glory of his rookie season based on receiving efficiency alone.","Ladd crushed as a rookie but took a step back in terms of dynasty value this past year. Quentin Johnston and Tre’ Harris will likely see a ton of snaps for blocking purposes and potentially limit some of his red zone opportunities. He enters Year 3 as a low-end WR2 who needs more receiving volume to hit a ceiling outcome moving forward.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"DK Metcalf","WR","PIT","5","28","177.1","4.4","7.1","7.06","7","Pittsburgh traded for Metcalf, then signed him to a huge deal…only to target him 99 times. What? Why? Needless to say, it was a very frustrating 2025 for Metcalf managers last season in that Arthur Smith/Aaron Rodgers offense. On one hand, Mike McCarthy’s offense should be much more throw-heavy in 2026, but on the other hand, Metcalf is now competing with Michael Pittman for targets and still has Aaron Rodgers or an inexperienced youngster as his QB. Could Metcalf rebound and regain WR2 form? It is possible, but we do not see league-winning upside with Metcalf in this offense.","Metcalf burned bright for a few years there in Seattle, but things have trended downwards in recent seasons. Now 28 years old, Metcalf still has some good years left in the NFL, but expecting him to return to what we saw early in his career is pretty unlikely. He is a solid piece to have if you are a contender, but if you have your eyes on the 2027 season, we like moving Metcalf now before the bottom falls out.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Luther Burden III","WR","CHI","5","29","177.1","4.7","7.8","4.06","7","Last year’s second-round pick didn’t do much early on, but when he got his chance, he capitalized, particularly during Chicago’s playoff run. The Bears are obviously counting on Burden to take a big step forward this season after trading DJ Moore to the Bills, but it takes a lot of projection to buy into Burden’s juiced-up ADP. He is the hotness right now in Chicago’s WR room, but we need to remember he only earned 60 total targets for a 12.8% target share as a rookie. A bet on Burden is a bet on the talent profile and Ben Johnson using him to his full potential. We are viewing him as a high-upside pick who could provide big-time returns if things break right, but there is also a world that exists where he is third on the team in targets behind Rome Odunze and Mr. Loveland.","Burden entered the NFL with some question marks in his profile, but those seem to be put to bed after a highly efficient 2025 campaign. It took a while for the rookie to break out, but when he was on the field, he was highly efficient, averaging 2.69 yards per route run. Those efficiency marks signal some serious talent, but admittedly, there is still some uncertainty given the small sample size.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Carnell Tate","WR","TEN","","30","177.0","5.9","6.8","6.03","7","Tennessee surprised a lot of folks in April when they took Carnell Tate fourth overall in the NFL Draft. That type of draft capital suggests he will be on the field right away as an every-down player with the chance to lead the team in production. It can take time for rookie WRs to develop throughout the year, so even if Tate doesn’t get off to a fast start, he is a player who could really provide a boost to your squad late in the year.","Tate was never really the guy in his Ohio State offense, so analytically, there are some holes in his profile. That said, he brings elite draft capital and is probably the best vertical threat in this year’s rookie class as a true perimeter receiver. We have him as a top-20 overall WR in the ranks, but his ability to hit his true ceiling over the next two to three years will depend on Cam Ward’s ability to develop as a starting QB.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Brian Thomas Jr.","WR","JAX","8","31","174.9","6.3","7.5","8.01","7","What happened here?! BTJ was amazing as a rookie, and all signs pointed to a huge breakout in Year 2. Unfortunately, Thomas’ second season in the league was plagued by inconsistency, drops, injury, and poor play overall. Ultimately, he ended up being one of fantasy’s biggest busts of 2025. Entering 2026, we are now looking at this Jags’ depth chart completely differently. Travis Hunter’s usage remains unclear, Parker Washington played so well down the stretch that you would think he has earned a role, and the team traded for Jakobi Meyers last year, then immediately signed him to an extension. Something’s gotta give in a crowded WR room. Right now, we are viewing BTJ as a potential bounce-back candidate on one of the better offenses in the league. Because of last year’s headache and the crowded WR room, his ADP is depressed, so if you are looking for a volatile mid-round option who could pay off in a big way, BTJ is worth a swing in the middle rounds.","There aren’t many WRs who go out and do what Brian Thomas did as a rookie. Is there cause for concern after a frustrating Year 2? Sure, but this is still a former first-round NFL WR who averaged 2.56 yards per route run as a rookie. Over the last decade, most of the guys who check both of those boxes have gone on to be fantasy difference-makers. We recognize the risk, but now that his cost is down in startups and in the trade market, it might be time to see what it takes to get him on your squad.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Alec Pierce","WR","IND","11","32","174.7","5.1","6.9","8.12","7","Get that money, Mr. Pierce! After years of being a part-time role player for the Colts, Pierce showed out in 2025 with his first 1,000-yard season and cashed a huge payday with Indy. That financial commitment from the team suggests they think he can level up as a top target without Michael Pittman, but it is worth noting that he has never been a high-volume pass catcher, even going back to his college days, so it does take some projection on that front. For context, he has never had more than 52 receptions in a single season in either the pros or in college. There is some volatility with a big play threat like Pierce, so we like pairing him with more reliable high target share guys earlier in your draft.","It took a few years for Pierce to develop in the NFL, so the fact that he went from a bench roster clogger to a guy who is one of the highest-paid WRs in the league is kind of wild. Nonetheless, this massive contract gives him plenty of value in dynasty formats. He is an interesting player with a wide range of outcomes, so we could see this going either direction. If you are a dynasty player who likes to play the market, it is certainly possible he has already reached peak value, so we would not fault anyone for seeing what they can get in a trade for Pierce after that huge contract.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Marvin Harrison Jr.","WR","ARI","8","33","164.2","6.2","7.3","8.05","7","Alright, Marv. Listen up, buddy. It is make-up or break-up time. We have defended you on our show for a couple of seasons, and Mike even wrote a song about the pants store in your honor! Fantasy gamers were hoping for that classic Year 2 breakout a season ago, but it was anything but. Marv had another lackluster season, with this one defined by inconsistency and injuries that limited him to just 12 games. Through two seasons, he is averaging just 9.3 fantasy points per game. As the former fourth-overall pick, that is just not good enough. The QB room remains a giant question mark, and Trey McBride is the alpha here. Unfortunately, we are at a point where Marv has settled into a boom/bust fantasy option, but the good news is we expect his ADP to slide quite a bit this year compared to previous seasons, and this is a brand new scheme. Is the risk already baked into the price?","Based on our studies, most WRs who become difference makers do so by Year 3. If you took Marv with the first overall pick in your rookie draft two seasons ago, it is important to reset your expectations. Through two years, he averaged 1.74 and 1.68 yards per route run. Those are solid efficiency marks, but they are middling for a former top-five overall pick. If Marv can’t break out this year, he is probably settling into WR3ville for fantasy.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
