"Name","Position","Team","Bye Week","Rank","Points","Risk","Upside","ADP","Outlook","Dynasty","Markers"
"Chig Okonkwo","TE","WAS","10","113","115.1","3.8","5.2","13.03","Chig had his moments in Tennessee, flashing some YAC-ability but never quite being a consistent fantasy threat. He signed a three-year contract with the Washington Commanders, breathing new life into his fantasy prospects on a roster that desperately needs another pass-catcher opposite WR Terry McLaurin. You won’t have to pay too much to take a shot on the guy, so why not? He looks like an easy stash or waiver wire pickup early in the season. Chig is not dead for fantasy yet, we say!","We saw flashes in a sub-par Tennessee offense last year with four top-12 weeks in fantasy. As the presumed TE1 in a much better offense, he saw a value boost this offseason but remains a mid-level TE2 for fantasy. If you are looking to add TE depth this off-season for a small price, Chig is your man!","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Chris Rodriguez Jr.","RB","JAX","12","114","114.9","5.1","5.2","14.11","CROD! The former Commanders RB quietly ranked fourth among all qualifying RBs in rush success rate and trailed only Bijan Robinson in yards after contact per attempt last season. If you want to connect a few dots, he played his college ball at Kentucky, where Liam Coen was the OC; in that season, he logged 238 touches as the lead ball carrier. He hasn't really done much in the NFL thus far, but the familiarity in Coen's system at least adds some threat to Bhayshul Tuten's early-down role in 2026. Consider him a solid bench stash in your drafts, hoping he finds his way to FLEX value for your teams.","Besides the utter joy of his nickname, the Jaguars must like this guy as they signed him to a two-year deal with $6.2M guaranteed. It may not seem like a ton, but considering he got more guaranteed money than Rico Dowdle, the money says he could have a role in Liam Coen's offense. Beyond 2026, he is a mystery.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Dalton Schultz","TE","HOU","6","115","114.6","3.1","4.8","9.10","“Dr. Schultz” definitely took some sabbatical weeks in 2025 - clocking eight weeks where he finished as the TE20 or worse. Ick. But then he also had some weeks where he was the dude, slicing and dicing in the operating room, finishing as the TE11 or better seven times. It was tough to anticipate what version of Schultz we were going to get in 2025, making starting him every week a scary decision. A lot will ride on whether Stroud can return to that magical rookie season production. He has had at least 85 targets in the past six seasons, but TDs have never seemed to be his thing. Schultz is a low-ceiling, later-round option in redraft this season.","The man signed a one-year extension in March of this year. He will turn 30 this year and will just be a boring, vanilla TE2 sitting on your dynasty roster, reminding you once in a while that he can find the end zone.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Dallas Goedert","TE","PHI","9","116","114.6","5.3","6.0","9.08","The TE3(!) in 2025 returns to Philly with the talented rookie Eli Stowers breathing down his neck. After a league-leading 11 TDs last season - the same as Trey McBride, on half as many receiving yards (591) - we can expect some TD regression. It will be tough to start him every week in redraft, especially with all of the offensive options in Philly.","Goedert signed a one-year extension in the off-season, and with the addition of Stowers, we can see a world where the team moves on after 2026. We can hope for a landing spot where he is featured near the goal line so we can squeak out another year or two in dynasty. He should go off draft boards in the early 20-something range in start-ups.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Dalton Kincaid","TE","BUF","7","117","114.6","5.8","7.5","8.03","After his rookie season finish of TE11 in 2023, it has been downhill ever since for the guy we were hoping to become Josh Allen’s No. 1 target. His 49 targets only translated to 571 yards, five TDs, and a TE15 finish. With Joe Brady stepping in as HC, the offense should look similar, but there is no guarantee. The team added DJ Moore in the offseason to finally give Allen a WR1, and TE Dawson Knox continues to be another solid receiving option; remember, everybody eats in Buffalo. You won’t feel confident heading into this season with Kincaid as the only TE on your roster as four targets per game will not get it done in the TE fantasy streets.","There was a time when we were pumped for the young TE tied to a high-powered offense and a QB with an arm who could sling it. He is under contract for two more seasons sustaining his value as a fringe TE1 for dynasty. Keep the light on for Kincaid to see how the offense is run with Brady at the helm, but make that light small. And dimmable.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Omar Cooper Jr.","WR","NYJ","","118","113.7","6.7","5.9","14.05","How many fantasy options can this version of Geno Smith support in 2026? We know Garrett Wilson and Breece Hall are likely to dominate touches here, so any secondary Jets players are probably going to have to get there via efficiency. Call us crazy, but if your eyeballs saw Geno playing QB last season, we are a little hesitant with that bet! That is where the concern comes in for a guy like Cooper, who profiles as a possession and yards after the catch WR in the NFL. So long as Garrett Wilson is healthy, Cooper’s fantasy upside will be capped, but you could always target him late in drafts and see what shakes out in New York early in the season. Rookie WRs are generally good bets at ADP because the cost is reasonable, but if we are comparing Cooper to the other first-round NFL draft picks, he is not as big of a priority as guys like Carnell Tate, Makai Lemon, or Jordyn Tyson.","Cooper was a bit of a late bloomer at Indiana, but he was a big riser throughout the pre-draft process after Indiana’s National Championship run. He ultimately went in the back of Round 1 of the NFL Draft, which helps his stock obviously, but this is a player who didn’t clear 30 catches in a single season until his fourth year in college. There are some things to like about Cooper, but he does come with some risk in dynasty circles.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Hunter Henry","TE","NE","14","119","110.7","3.3","5.8","9.04","Henry was quietly the TE6 on a team where he was second in targets with 87, just behind Stefon Diggs with 102. The problem with Henry was that you never seemed to know when to start him, as he surpassed eight fantasy points per game in less than half of his games (47%). Henry’s weekly uncertainty might not improve much with the addition of AJ Brown and Romeo Doubs. Henry seems to consistently be undervalued in drafts, making him an easy trigger to pull at the end or a pickup off waivers as your second TE on a deep roster.","Henry is a free agent after the 2026 season, and New England drafted Notre Dame rookie Eli Raridon in the third round. They seem to be looking to the future at the position. Henry will be playing his 10th season in 2026, so you probably won’t get much in a trade for him. Hold on and see if you can use him in prime matchups.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jauan Jennings","WR","MIN","14","120","109.5","6.4","5.3","11.12","Jauan “Jennayings” (IYKYK) signed with the Vikings late in free agency, inking a one-year deal worth up to $13 million. With Jefferson dominating targets and Jordan Addison one of the better WR2s in the league, we are not super excited about Jennings’ fantasy outlook as Kyler’s WR3. He is likely to help the Vikings more than he helps our fantasy rosters. That said, if JJetts or Addison happen to miss time because of injury, we know Jauan is a serviceable fantasy WR who can be a plug-and-play option off the waiver wire.","Jennings doesn’t have a long-term contract and is now entering his age-29 season. We expect his dynasty value to continue to take a hit over the next 12 months, so at this point, he is not really anything more than a bench piece for a contender.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jerry Jeudy","WR","CLE","9","121","109.4","5.5","5.5","14.12","Is Jeudy a capable NFL WR? Sure. Is he frustrating to watch due to the inconsistency? Yep. Is he a fun click in fantasy? Nope! Judge Jeudy had that magical stretch with Jameis Winston in 2024 (#JameisForever), but outside of that small sample, he has largely been irrelevant for fantasy since he arrived in Cleveland. The Browns took multiple rookie WRs in this draft, so his playing time isn’t a guarantee moving forward, especially with a new coaching staff in town.","Jeudy’s dynasty value was already in free fall before the Browns double-dipped in the NFL Draft with KC Concepcion and Denzel Boston. Jeudy comes from the previous regime, so Todd Monken may prefer to get a look at the young guns. That leaves Jeudy in no man’s land when it comes to his future outlook. He is under contract through 2027, but it wouldn’t be surprising to see his name in trade rumors.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jayden Higgins","WR","HOU","6","122","108.2","3.9","5.9","12.03","Higgins had a quiet rookie season, going over 50 receiving yards in a single game just three times. It is difficult to be relevant in fantasy football when you are averaging just four targets per game and a 12.3% target share while playing for an offense that isn’t exactly lighting it up on a routine basis. There is room for those market share numbers to grow in Year 2, but it is worth noting that Tank Dell might return to the lineup, Xavier Hutchinson is also part of this team, and Jaylin Noel could also see some more snaps this season as well. Right now, Higgins is nothing more than a late-round dart in redraft leagues with the hopes that he increases his route share in his second season and C.J. Stroud bounces back to support multiple fantasy-relevant WRs.","Houston took Higgins with the 34th overall pick in last year’s draft, so they are still going to be counting on him as he enters his second season in the league. His Year 1 peripherals aren’t amazing, but they aren’t terrible either. In the three games where he posted an 80+ percent route share, he scored double-digit PPR points in all three of those games, and on the season, he averaged a respectable 1.45 yards per route run. Those numbers leave the light on that Higgins can develop as a pro, but obviously, there is a wide range of outcomes here moving forward.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Zach Charbonnet","RB","SEA","8","123","104.4","7.0","5.2","11.03","Before suffering a torn ACL in the divisional round against the 49ers, Charbonnet was arguably the better fantasy asset than Kenneth Walker III on the season. His 12 rushing TDs tied James Cook for fifth most among RBs, and he ranked seventh in yards after contact per attempt. It was clear the team trusted him as they entered the red zone with 17% of his carries occurring inside the 10-yard line, the second highest rate of any qualifying RB in the NFL. Expect him to begin the regular season on PUP with the possibility that his recovery extends well into October. He is buried in our rankings and someone we are happy to see get drafted by another leaguemate as they wait for his return.","Once he does get on the field, he will need additional time to ramp up, which means he is unlikely to be fantasy relevant until November at the earliest. The most likely outcome here is that 2026 is a lost season, which is difficult timing considering he is entering the final year of his rookie contract.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Kenyon Sadiq","TE","NYJ","","124","104.0","4.6","5.4","10.07","Sadiq’s impressive athletic profile (remember when he broke almost every record at the NFL Combine?) catapulted him into the first round, heading to the New York Jets at pick 16. The question marks related to his usage at Oregon remain, as fantasy managers must question if a man who couldn’t top 600 receiving yards during his final year in college will be successful as a Jet with Geno Smith under center? He could end up second or third on the team in targets behind WR Garrett Wilson and RB Breece Hall, while competing with fellow rookie Omar Cooper Jr. Oh, and there is also a feline in Mason Taylor in the room that Sadiq has to overtake on the depth chart. Between you and me, a dawg always wins over a cat. You probably aren’t counting on Sadiq right away in redraft this year, but his time will eventually come.","Dynasty is another story for Sadiq, who shows strong promise looking into the future. One of the youngest at the position, only 20 years old, and drafted to an organization trying desperately to be “one QB away,” Sadiq could be one of the great TEs of the next few years. Some managers may be down to overpay, wowed by his Combine athletic performance, evidenced by him going as high as the 1.07 in rookie drafts. However, you might be ok waiting for someone like Eli Stowers several picks later and get a similar ROI. However you cut it, Sadiq’s value for dynasty is strong and should hold there for a while.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Isaiah Likely","TE","NYG","7","125","102.7","3.8","5.8","11.01","Remember Week 1 of the 2024 season when Likely had over 100 yards receiving and a TD, and the entire fantasy community went, wait whaaaat? Mhmm. The man is now out of Mark Andrews’ shadow and ready to live large in New York. Target-wise, the big competition is Malik Nabers, and behind him are the likes of Darius Slayton, Darnell Mooney, and fellow TE Theo Johnson.  We are following the money ($26 million guaranteed) and his connection with John Harbaugh in assuming that Likely will be a significant part of this offense. You don’t have to go after him early to invest in this late-round flier.","Likely’s dynasty situation really couldn’t be much better. He lands on a new team with a coach who pushed for him and shares rapport with. The 25-year-old signed a three-year deal, and he has an exciting young QB in Jaxson Dart to grow with. He does have Theo Johnson sharing the room, but Harbaugh has made clear his proclivity for multiple TEs on the field. If you have Likely, hold and hope for the breakout.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Woody Marks","RB","HOU","6","126","101.6","4.3","5.4","11.08","After being taken in the fourth round in 2025, Marks saw 17 opportunities per game from Week 7 on. The Texans obviously were not very impressed with the efficiency (3.5 yards per carry) and forced missed tackle rate (54th out of 55 qualifying RBs), leading them to trade for veteran David Montgomery. He returns to being a backup and insurance back option only.","His parents know him as Jo'Quavious Dequane Marks, but “Woody” will play for the NFL. He has a three-down skill set, but honestly, there is not much special to his game that would cause you to be bullish for dynasty purposes.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"T.J. Hockenson","TE","MIN","6","127","100.9","4.1","5.2","12.04","After three TE4 or better finishes in three out of four years, Hockenson fell and fell hard. He saw 66 mostly forgettable targets in 2025. He was unstartable almost every week until he tapped out for the final two weeks of the season due to a shoulder injury. The Vikings’ offense will look different this season with either Kyler or “Nine” under center, and with Justin Jefferson and Jordan Addison still there, it is hard to consider him in redraft this season, at least until you see how the usage pans out.","Hockenson used to be a fantastic dynasty asset as recently as a couple of years back, but oh, how quickly the tides turn! He is almost 29, and even though there is no one threatening him in the depth chart, he seems to have lost his shine. If Kyler can bring him back to his former glory, consider yourself lucky.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Isiah Pacheco","RB","DET","10","128","100.3","5.0","4.6","15.07","After a solid 2023 campaign, it has been all downhill since for Pacheco after suffering a brutal fibula injury in 2024 and essentially being irrelevant for fantasy in 2025. The veteran signed a one-year deal to replace David Montgomery and his 34 red zone carries. Pacheco’s efficiency numbers are downright disgusting, but opportunity is everything in fantasy. He has been left for dead in ADP, but the setup seems ideal: the clear RB2 on a good offense that can handle a three-down workload if needed. The Lions are favored in a ton of games, so it would not be surprising if Pacheco returned low-end FLEX value this year.","Beyond 2026, we have no idea what Pacheco is for fantasy. However, he described his initial pitch from HC Dan Campbell with lots of screaming on the phone, making the pairing of these two “high-T” guys interesting for the short-term.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Antonio Williams","WR","WAS","","129","100.0","7.5","5.8","14.08","Terry McLaurin figures to be option A, B, and C in Washington. Behind him, this depth chart is yucky. Deebo Samuel is gone, and the Commanders did very little to replace him in free agency. Enter Williams, who has a chance to be the #2 option right away as a rookie. One question mark on Williams is how his game will translate to the NFL after he ran almost 80% of his routes from the slot in college. We expect him to start out as the team’s primary slot WR, and hopefully, he can jump into 2WR sets. If not, his ceiling is probably capped for fantasy. Even so, his ADP is so late that we don’t mind taking a shot on him in drafts and stashing him to see how things play out early in the season.","The Commanders didn’t have a second-round pick in the NFL Draft. After going defense seventh overall, they used their third-round pick on Clemson’s Antonio Williams. He broke out right away as a true freshman but failed to really level up and become a dominator in college. Still, there is some signal that perhaps he can produce right way as a rookie, given the state of the depth chart. He is one of our favorite later-round targets in both dynasty and redraft leagues for 2026.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Juwan Johnson","TE","NO","11","130","99.1","3.8","5.2","10.02","There have been whispers in the bushes every year about a potential Juwan Johnson breakout season, and we finally got it in 2025! His TE10 finish was the best of his career on the back of 529 routes run, the fifth most for the position. It was the rapport with QB Tyler Shough that really greased the gears, and they should be ready to come out firing to start the season. The team added offensive weapons with eighth-overall pick Jordyn Tyson, Travis Etienne Jr., and TEs Oscar Delp and Noah Fant, which likely eats into his target volume. Going off draft boards past TE15 territory means you can shoot your shot with the former basketballer if you had a fun ride last year.","We do not usually suggest targeting almost 30-year-old TEs with a classic sixth-year breakout. The team restructured Johnson’s contract this spring, giving themselves an out after 2027. Add in the drafting of Georgia’s Oscar Delp, and it suggests that the team is preparing for a world without Juwan-son as a Saint. If you can capitalize on a strong 2025 and trade him to a TE-needy team, we don’t think it is a bad decision. If no takers, you are holding and hoping.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Malik Washington","WR","MIA","12","131","97.6","4.6","5.1","","Who is the WR1 for the Dolphins? And does it matter? Man, this Miami depth chart is something else. I mean, what a crew. We honestly do not feel confident in playing time or target shares here because this is a brand-new regime with brand-new weapons and a brand-new QB. The Dolphins project to be one of the most run-heavy teams in the league under a defensive-minded head coach and run-first OC Bobby Slowik. For now, Washington looks like he will have a role as the slot WR in this offense, but we have seen enough of him in the NFL to know that a low aDOT, gadgety player isn’t going to be a difference maker for fantasy, especially in an offense that could be the worst in football.","Washington comes from the previous regime, and with Miami taking multiple rookies in the NFL Draft, there is a good chance Washington is on the outside looking in when we get to the end of the season. He carries next to no value in dynasty leagues. Sorry, Malik!","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Calvin Ridley","WR","TEN","10","132","97.5","5.2","4.7","16.10","Ridley broke his fibula in Week 11 last year and is still working back. On a Titans offense still trying to find their identity, Ridley likely will not have a large part.","At age 31, on a restructured deal, and injuries at the forefront, it is time to move on from him in dynasty.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Travis Hunter","WR","JAX","8","133","96.0","8.3","6.8","14.09","Just as we were starting to see what the man could do last year, he injured his LCL and was out for the season. The WR room is now quite crowded in Jacksonville, and you still aren’t even sure that Hunter will be out there as one. High ceiling, sure, but your basement is literally a sub-level crawl space.","If you took Hunter in your rookie draft last year, you are probably trying to move him. As you would only be getting pennies on the dollar, you might want to wait until he has a big game and then try to trade him. Immediately.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Pat Freiermuth","TE","PIT","5","134","95.9","4.2","3.8","","Is the Muth still Luth? Unfortunately, the answer might be no with only 486 yards receiving and four TDs in 2025. The team gets back the one and only Aaron Rodgers, who had 67% of his passing yardage come after the catch, the highest rate in the NFL. With Mike Tomlin and Jonnu Smith out and Mike McCarthy and Michael Pittman Jr. in, it is up in the air how this offense will function. Look, it’s ok to just say no in fantasy.","It is perfectly fine if you want nothing to do with this Pittsburgh offense, but keep in mind that this is probably the last year of Aaron Rodgers (we hope). The Mike McCarthy era has now begun. The Muth signed a four-year extension in 2024, so he will be a Steeler through 2028. He is a hold as we hope for a team makeup that lets the Muth get Luth again, as he did in 2022 and 2024.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cooper Kupp","WR","SEA","8","135","93.7","5.3","3.5","19.09","We will always remember the good times, Coop. The former Fantasy MVP has slowly morphed into a role player at this stage of his career, but ya know what? This man just won another Super Bowl, so he is probably doing okay! We will always love you, CoopaKuppaCoffee, but sadly, your days as a fantasy starter are long gone. We view Kupp as a potential injury fill-in should JSN or Rashid Shaheed miss time.","The time to cash in on Kupp in dynasty was about three years ago. So, at this point, you are just holding and using him in your lineup a couple of times per year when the injury bug bites or the bye weeks kick in.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cade Otton","TE","TB","9","136","93.4","3.8","3.8","14.01","All hail the ultimate cardio king! Otton ran the fourth most routes among TEs in 2025 (540!) and was on the field for the third most passing plays (625!). Obviously, he crushed it in fantasy football, right? RIGHT? Exactly. Otton finished the season with only one TD, reminding us that fantasy football and real-life football regularly do not align. On a team full of offensive weapons, including two solid pass-catching RBs, Otton’s time in the sun is almost set. But hey, if your league gets fantasy points for getting your steps in, Otton should be the first off the board.","You aren’t going to get anything of value for Cade Otton if you try to trade him, so on your bench, he shall live as you dream at night of positive TD regression. If somehow that happens, ship him out the door faster than Jason cranking down the AC in July.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tank Dell","WR","HOU","6","137","91.6","8.5","6.1","17.08","Dell missed the entire 2025 season with a catastrophic multi-ligament knee injury, and his timeline for 2026 is still unclear. He should not be on your redraft radar.","Dell and Stroud had a clear connection, even for a short while. You are not getting anything for him on the open market, so a speculative (and hopeful) hold is where we are at.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Keon Coleman","WR","BUF","7","138","90.8","5.4","5.3","19.08","With the addition of DJ Moore and the drafting of Skyler Bell, he falls further and further down the depth chart. The man can’t separate, and he shouldn’t be considered in redraft this year - even with Josh Allen throwing the ball.","Any hope we had for Coleman to become the WR1 in Buffalo has pretty much disintegrated, even though apparently, GM Brandon Beane rejected four trade offers for Coleman in the offseason. If he is on your roster, feel free to accept the offer if it comes across your desk.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Germie Bernard","WR","PIT","","139","90.4","5.4","4.1","18.06","Germie probably needs an injury to one of DK Metcalf or Michael Pittman to be fantasy relevant this year. We are projecting him to play in the slot for Pittsburgh, and while that role could provide plenty of value for the Steelers, we are skeptical that it turns into enough fantasy points to make him a startable asset. The rookie is worth monitoring throughout camp, but for now, he is nothing more than a late-round stash.","Things look crowded right now in Pittsburgh with Metcalf and Pitty City atop the depth chart. However, those veterans may not be in town for more than a couple of seasons, so perhaps Bernard’s role can grow with time. His efficiency metrics coming out of Alabama are middling, however, so we don’t view him as a surefire prospect.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"AJ Barner","TE","SEA","8","140","90.3","3.9","4.2","12.01","With Noah Fant out of the picture, the TE position was up for grabs in Seattle, and Barner did a decent job showing he should be the guy moving forward. Finishing as the TE14, he had a decent 64 targets, which turned into 519 yards and six TDs. His 18 looks in the red zone were stellar too, just two fewer than JSN. He remains too volatile in redraft, especially with fellow Seahawk Elijah Arroyo still in the mix. Barner had finishes as high as TE1 and as low as TE58 last year. It would be tough to stomach the amount of Tums we would need to ride that roller coaster.","Barner carries a little more weight in dynasty. He is only 24 and will be with Seattle at least through 2027, a very well-run franchise. However, the same issues exist in dynasty as they do in redraft: four targets a game are just not enough to crack your starting lineup. His seven ""TE1"" finishes might lure someone into this TE trap, but as we have established on the podcast, a top-12 finish at this position is an outdated term.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Colby Parkinson","TE","LAR","8","141","87.4","4.1","4.8","13.03","After five seasons of “who’s that guy” in Los Angeles, 2025 turned into “hey, I know that guy” for Colby Parkinson. He set career highs in targets (56), yards (408), and TDs (8!!). The TDs are certainly an outlier, but he was a certifiable red zone weapon, seeing 22 red zone targets inside the 20, just three shy of Puka Nacua. We are paying attention, Mr. Parkinson. The only problem is  Sean McVay loves TEs, and with a crowded room, you won’t know what weeks to start Parkinson or any of the other Rams TEs.","Good ole Colby is 27 and in the last year of his deal. The Rams have made it known they have their eyes on the future, drafting Terrance Ferguson last year and Max Klare in 2026. You can hold onto him to see if he heads to a team that features him more, and if he doesn’t, there are worse offenses to be tied to.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jonah Coleman","RB","DEN","","142","87.4","5.3","5.8","12.09","With an early breakout age (20) and 25 rushing TDs over his final two seasons, he was the engine of the Huskies offense post-Michael Penix Jr. years. Coleman’s draft stock slipped after a lack of testing, but the landing spot in Denver should put him on your radar. Sean Payton loves utilizing an RB committee more than his own family, as Coleman begins the season third or fourth on the RB depth chart. Keep your head on a swivel, knowing Coleman could have a moment as a priority waiver pickup.","Coleman is built low to the ground, and his receiving profile (87 career receptions) showcases the type of three-down skillset we are willing to chase for fantasy. He is a fringe first-round rookie pick, albeit in an extremely weak RB class.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Dylan Sampson","RB","CLE","9","143","87.1","3.7","4.9","13.08","The second RB taken by the Browns in last year’s draft had a weird rookie campaign. Sampson surprisingly had eight receptions in Week 1 and totaled 40 targets as a change-of-pace back. Yet, he averaged just 2.7 yards per carry and failed to score on the ground. The Browns’ offense will receive a makeover in 2026 with new play-caller Todd Monken and an influx of new receivers. Once lead back Quinshon Judkins returns from his ankle injury, Sampson likely will fade to being a bench stash only in deep PPR leagues.","Sampson likely does not have standalone value but is an intriguing bench stash at only 21 years old. The former SEC Offensive Player of the Year has the pass-catching skills to hang around and make noise if Judkins were to get injured again.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jalen Nailor","WR","LV","6","144","87.1","4.9","3.9","18.10","Nailor was a solid WR3 on the Vikings, catching 10 TDs over the last two seasons. He parlayed his limited success into a multi-year deal to be a starting WR in Las Vegas. If opportunity is your thing, Nailor has an opportunity (opposite Brock Bowers) to see a 20% target share because, well, someone has to! We preach chasing talent over opportunity at the WR position, but Nailor’s draft cost suggests he is worth a flier and bench stash to start the season.","He likely will be a volatile fantasy performer attached to a rookie QB, but it is nice to see the former sixth-round pick secure a bag. He signed a three-year deal worth up to $35 million and moved about five seats up on the bus from “end of bench stash” to “maybe I can FLEX him” territory.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Christian Kirk","WR","SF","6","145","86.2","5.2","3.6","20.01","A journeyman of sorts, Kirk lands with his fourth team, entering his ninth season in the league. He has given us two usable fantasy seasons before, and TBH, what’s not to say he becomes the WR1 in San Francisco in a matter of weeks due to their injury luck? Just kidding. Or am I…Just be ready to head to your waiver wire if this happens, but otherwise, he shouldn’t be on your redraft radar.","The man is almost 30 and on a one-year deal in San Francisco. If you are lucky, he might have a good matchup on a week you need a bye week fill-in.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Ryan Flournoy","WR","DAL","10","146","86.0","4.3","4.8","19.01","The clear WR3 behind CeeDee Lamb and George Pickens, Flournoy had 11 receptions for 158 yards last season in the three games that Lamb missed. He only gets a second look if Lamb and or Pickens are injured.","May I offer you an almost 27-year-old WR, drafted in the sixth round, entering his third season, who is yet to break out? No?","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Alvin Kamara","RB","NO","11","147","85.1","6.5","4.2","12.11","From his rookie year in 2017 until 2024, only Derrick Henry scored more fantasy points than Alvin Kamara. He was truly a generational fantasy back and arguably the most dependable pass-catcher at the RB position. He hit a fantasy wall in 2025, averaging the fewest yards per carry (3.6) of his career while scoring one total TD and bowing out to an injury in Week 12. With the signing of Travis Etienne Jr., it remains to be seen what type of role he will have in this offense in 2026. You might see the name in your player pool, but remind yourself that the good ole days are gone.","Kamara's time in New Orleans looked like it was coming to a close, but they curiously extended him in 2024 and now are paying for it. He has one year remaining on his deal with a $10 million cap hit and several void years of kicking his contract down the road further. For dynasty purposes, if you can get anything for him, congratulations. If not, remember the good times.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Brian Robinson Jr.","RB","ATL","14","148","84.6","3.7","3.7","9.05","As CMC’s backup last year in San Francisco, “BRob” totaled just 104 opportunities, including a meager eight receptions. His biggest contribution to fantasy this year could likely be when some dumb-dumb in your league accidentally drafts him in Round 1 as “B. Robinson- RB, ATL”. Tyler Allgeier vacates 160 opportunities, so expect the big-bodied back to mix in occasionally in short-yardage situations for Atlanta. Still, he should not have much standalone value behind Bijan.","At 27 years old, BRob’s best fantasy football days are likely behind him. His one-year deal worth $2.5 million makes him purely an insurance back, and we know Bijan has been invincible thus far in his career.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"DeMario Douglas","WR","NE","14","149","84.0","4.8","4.1","","Good old DeMario “Pop” Douglas never really popped (see what I did there?) and will be at the bottom of a depth chart led by AJ Brown. With 80% of his routes coming in the slot, he is a bit part player on a depth chart that has bypassed him.","Sure, he will have a random big week, but any chance that he could materialize as a solid starter for dynasty has disappeared.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Tyler Allgeier","RB","ARI","5","150","83.1","4.0","3.5","10.03","Poor Tyler. After signing a two-year contract with the Cardinals, the team promptly gave him a proverbial stiff-arm, selecting rookie Jeremiyah Love third overall in the NFL Draft. The 26-year-old bruiser will still make noise inside the red zone after his seven rushing TDs inside the 20-yard line actually outpaced Bijan Robinson last year in Atlanta. However, for redraft purposes, he is nothing more than a bench stash and insurance back for Love managers.","Allgeier is a solid bench RB in dynasty with a nose for the end-zone, albeit on a team that projects to have the worst record in the NFL. Holding him over the Jeremiyah Love manager might be your best course of action if you are trying to extract any semblance of value.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
