"Name","Position","Team","Bye Week","Rank","Points","Risk","Upside","ADP","Outlook","Dynasty","Markers"
"Drake London","WR","ATL","5","21","217.0","3.8","9.1","2.05","Can we get this man a QB? We know London is one of the most talented WRs in the league, yet it feels like there is still so much untapped potential given what has been going on in Atlanta. Even though Tua and Penix have their warts, we are closing our eyes in drafts and betting on talent with Drake, who has been targeted on 30% of his routes over the last two seasons. In case you missed it, the Falcons are trotting out some combination of the three stooges behind London: Jahan Dotson, Zachariah Branch, and Olamide Zacchaeus. Let’s get this guy 10+ targets a game and see what happens!","In dynasty, betting on young, highly drafted, and productive WRs is a winning strategy long term. That is why we will continue to bet on London even if the surrounding environment leaves a lot to be desired. Let’s hope the Falcons can find their long-term franchise QB next offseason because the Drake is here to stay. He signed a massive 4-year extension with the team in early June, making him one of the highest paid WRs in the league.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Jeremiyah Love","RB","ARI","","22","213.2","5.2","8.0","2.06","The Notre Dame superstar became the highest draft RB since Saquon Barkley after the Cardinals selected him third overall. His combination of size, speed, early breakout age (19.3), and production is a recipe for success at the next level. However, with Tyler Allgeier and James Conner on the roster as well as a bevy of legit pass-catchers, we might need to temper expectations for fantasy. His weekly workload will be in question despite the fact that RBs drafted inside the top 10 have averaged 19+ touches per game in Year 1 over the last decade. We have Love ranked as an RB2 for 2026.","While the landing spot might not seem ideal in the present, we are not worried at all about Love’s long-term trajectory. Consider how Bijan had a similar beginning with Allgeier stealing goal-line looks alongside the all-world RB. We have him firmly ranked inside our top-5 RBs in startups and a true building block in dynasty.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Cam Skattebo","RB","NYG","14","23","210.3","6.3","7.5","5.05","How good was the Skatt man for the 10 weeks of the season? He was the RB10, averaging 14.5 fantasy points per game, including a month’s stretch where the Giants fed him the ball 22+ times a game. His gruesome ankle fracture was tough to watch, as his energy and enthusiasm made him one of our favorite players to watch in 2025. He came out saying he would be ready for Week 1, but we would expect his best football to be played in the back half of the season, as it may take time to regain his explosiveness and dynamic ability. Consider him an RB2 for your fantasy squads on a run-heavy Giants team with an improved offensive line and a new scheme.","Before going down to injury, he ripped off six straight top-24 weekly finishes among RBs, so he clearly has the skillset to succeed in the game we play. That said, whenever there is a regime change, the dynasty value for Day 3 RBs is always a bit murky. For now, he is the clear best fantasy option in the backfield and a mid-RB2 in our startup rankings.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Brock Bowers","TE","LV","8","24","209.6","3.5","9.1","3.05","Who has two thumbs and might be the only legitimate pass-catching option on his team in 2026? This guy! Bowers followed up his incredible TE1 rookie season in 2024 with a TE8 finish in 2025, which, honestly, feels almost just as successful given the state of the QB and organization in Vegas. His targets per game dropped from 9.0 to 7.1, but he broke through with seven TDs in only 12 games played. Add in some competent QB play, either in the form of Kirk Cousins or Fernando Mendoza, and Bowers could rival Trey McBride’s 169 targets of last year. There is so little target competition in Las Vegas that he could break fantasy in 2026.","With the revamping of the Las Vegas offense and Klint Kubiak’s arrival, is it possible that Brock Bowers has gained even more steam as the TE1 in dynasty? There will always be the Bowers/McBride debate, but regardless of which side you land on, Bowers can and should be the cornerstone of your dynasty squad if you are fortunate to have him.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Nico Collins","WR","HOU","6","25","209.4","4.6","8.9","2.12","Even with C.J. Stroud disappointing more often than not from a real-life NFL perspective, Collins continues to post WR1 numbers on a per-game basis. He is just that dude in this offense, and with Tank Dell recovering from a major injury and last year’s rookies, Jayden Higgins and Jaylin Noel, unproven commodities, Collins’ elite target share remains locked in. He is on the short list of players who are capable of finishing as a top-five fantasy WR in 2026.","Nico is now 27 years old, so he has a couple more seasons in his prime. If you are a contender, you are obviously riding this out and taking the production, but if you are a rebuilding team, we do not mind putting him on the trade block and getting a haul. Our philosophy in dynasty is that we would generally prefer to be a year early rather than a year late.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"A.J. Brown","WR","NE","9","26","209.3","6.0","8.0","3.09","You heard about it for months and it finally happened... A.J. Brown is now a Patriot.  As for the player himself, last year probably felt frustrating as Philly’s offense sputtered and he finished with career lows in yards per reception (12.9). Even in a “down” year, Brown still finished as fantasy’s WR10 and an efficient 2+ yards per route run for his 7th consecutive season. He remains one of the league's best in man coverage as an absolute bully in one-on-one situations. Perhaps a change of scenery with Drake Maye could unlock Brown for another WR1 finish in 2026.","We have had Brown as a trade-away candidate in the Dynasty Pass. It is not because we think he will have a bad season in 2026, but rather, we would prefer to maximize value after his NFL trade in the dynasty trade market a year early. You can likely still get a young WR plus a first-round rookie pick if you are willing to move off the soon-to-be 29-year-old vet.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Chris Olave","WR","NO","11","27","208.5","5.7","8.8","3.04","Olave was buried in ADP a year ago due to concerns about the Saints' QB room and his concussion history. Fantasy drafters who took the plunge on Olave in the middle rounds last season were rewarded in a big way as Olave banked career highs in targets (156), receptions (100), yards (1,163), and TDs (9) en route to a WR6 finish. Shough for the win! After Spencer Rattler was benched, Olave went on a tear, averaging 15.8 points per game with Tyler Shough under center. The target competition will be more difficult with the addition of Jordyn Tyson, but Olave is one of the most talented WRs in the league, and we love Kellen Moore’s up-tempo scheme. We would not be shocked to see Olave post back-to-back WR1 seasons.","Olave should be able to cash in a huge payday from the Saints in the very near future, as he is entering the final year of his rookie deal after New Orleans picked up his fifth-year option. With the Saints trying to build around Tyler Shough on a cheap rookie contract, Olave’s extension should come sooner rather than later, giving him stability as a fringe WR1 in dynasty start-ups.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"George Pickens","WR","DAL","10","28","208.3","5.0","8.9","3.02","George! Jason’s My Guy came through in a huge way in his first season in Dallas. His stats are a bit juiced for those games without CeeDee Lamb, but the point remains - Pickens is a super talented WR who plays in a scheme we like with a QB in Dak who can support elite fantasy seasons. The only thing to consider for fantasy is that the ADP for him is higher than it was a season ago, so we are not getting any discounts here like we were a year ago when Pickens was available in the middle rounds.","Pickens’ dynasty outlook hangs in the balance after he signed the franchise tag with the Cowboys. Does he end up getting a huge extension with Dallas, or does he go chase the bag elsewhere in 2027? The upside is obviously there to be a top-12 to top-15 option, but the situation isn’t stable right now, given the contract question marks.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Trey McBride","TE","ARI","8","29","207.8","4.2","8.3","2.09","If you were able to behold the TE season to end all TE seasons, you are probably still singing the praises of TMcB. With Jacoby Brissett at the helm, Trey McBride was unlocked, running 696(!) routes while breaking the single-season TE reception record with 126. He took advantage of various injuries among other Cardinals pass catchers to finish the year with 11 receiving TDs, a massive jump from the two he scored the year previous. We know that the TD total stands quite a chance to regress on a Cardinals team projected to win the fewest games in the NFL. Be that as it may, expect another year of massive volume, giving fantasy managers a positional advantage.","What is there to say? Enjoy. McBride signed a four-year extension with the Cardinals in April 2025, so he is not going anywhere soon. McBride and Bowers will dance back and forth as TE1/TE2 for many years to come.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
"Breece Hall","RB","NYJ","9","30","207.1","5.3","8.1","3.10","After signing a three-year extension following a tumultuous offseason, it is clear Breece remains the Jets’ main guy in the backfield. The opportunities to score were slim in 2025 as the Jets were tied or trailing on 93% of their offensive snaps, the worst rate in the league. Zoom out a bit further, and you will see that the team ranked dead last in rush attempts inside the 5-yard line for the third year in a row. His volume and breakaway run rate can make up for the team’s shortcomings. With a 45+ reception floor, Hall can be a valuable RB2 and potentially finish as an RB1 if the TDs finally fall in his favor.","It feels like Breece has already lived nine lives in the NFL (playing for the Jets will do that), but he is still not even 25 years old. One of the most productive and efficient backs over the last three seasons, the Jets rewarded Breece with a brand new three-year deal worth just over $15 million per year. Some dynasty managers out there may have been hoping for Breece to finally be unleashed on a new team and hopefully a better offense, but this contract says he will get plenty of volume in New York.","Mark Drafted                      Mark Keeper                      Mark Favorite                      Mark Watchlist                      Mark Avoid"
